ENGLISH,HINDI
time,समय
year,वर्ष
people,लोग
way,रास्ता
day,दिन
man,आदमी
thing,चीज़
woman,महिला
life,ज़िंदगी
child,बच्चा
world,दुनिया
school,विद्यालय
state,राज्य
family,परिवार
student,विद्यार्थी
group,समूह
country,देश
problem,संकट
hand,हाथ
part,भाग
place,जगह
,
week,सप्ताह
company,कंपनी
system,प्रणाली
program,कार्यक्रम
question,सवाल
work,काम
government,सरकार
number,संख्या
night,रात
point,बिंदु
home,घर
water,पानी
room,कमरा
mother,माँ
area,क्षेत्र
money,धन
story, कहानी
fact,तथ्य
month,महीना
lot,बहुत
right,सही
study,अध्ययन